69945-000 a 69949-999;69945000;69949999
69935-000 a 69939-999;69935000;69939999
69932-000 a 69933-999;69932000;69933999
69926-000 a 69926-999;69926000;69926999
69931-000 a 69931-999;69931000;69931999
69980-000 a 69981-999;69980000;69981999
69934-000 a 69934-999;69934000;69934999
69960-000 a 69969-999;69960000;69969999
69975-000 a 69979-999;69975000;69979999
69990-000 a 69999-999;69990000;69999999
69950-000 a 69954-999;69950000;69954999
69983-000 a 69984-999;69983000;69984999
69928-000 a 69929-999;69928000;69929999
69927-000 a 69927-999;69927000;69927999
69982-000 a 69982-999;69982000;69982999
69900-001 a 69924-999;69900001;69924999
69900-001 a 69923-999;69900001;69923999
69985-000 a 69989-999;69985000;69989999
69955-000 a 69959-999;69955000;69959999
69940-000 a 69944-999;69940000;69944999
69925-000 a 69925-999;69925000;69925999
69970-000 a 69974-999;69970000;69974999
69930-000 a 69930-999;69930000;69930999
57490-000 a 57499-999;57490000;57499999
57660-000 a 57669-999;57660000;57669999
57300-001 a 57319-999;57300001;57319999
57300-001 a 57317-999;57300001;57317999
57690-000 a 57699-999;57690000;57699999
57925-000 a 57929-999;57925000;57929999
57180-000 a 57199-999;57180000;57199999
57420-000 a 57424-999;57420000;57424999
57630-000 a 57634-999;57630000;57634999
57435-000 a 57439-999;57435000;57439999
57680-000 a 57689-999;57680000;57689999
57830-000 a 57839-999;57830000;57839999
57570-000 a 57579-999;57570000;57579999
57770-000 a 57779-999;57770000;57779999
57968-000 a 57969-999;57968000;57969999
57250-000 a 57254-999;57250000;57254999
57350-000 a 57359-999;57350000;57359999
57530-000 a 57534-999;57530000;57534999
57780-000 a 57799-999;57780000;57799999
57535-000 a 57539-999;57535000;57539999
57760-000 a 57769-999;57760000;57769999
57325-000 a 57329-999;57325000;57329999
57975-000 a 57979-999;57975000;57979999
57140-000 a 57149-999;57140000;57149999
57230-000 a 57239-999;57230000;57239999
57320-000 a 57324-999;57320000;57324999
57480-000 a 57489-999;57480000;57489999
57560-000 a 57569-999;57560000;57569999
57625-000 a 57629-999;57625000;57629999
57340-000 a 57349-999;57340000;57349999
57220-000 a 57229-999;57220000;57229999
57995-000 a 57999-999;57995000;57999999
57360-000 a 57369-999;57360000;57369999
57890-000 a 57899-999;57890000;57899999
57620-000 a 57624-999;57620000;57624999
57280-000 a 57289-999;57280000;57289999
57545-000 a 57549-999;57545000;57549999
57430-000 a 57434-999;57430000;57434999
57960-000 a 57964-999;57960000;57964999
57950-000 a 57954-999;57950000;57954999
57425-000 a 57429-999;57425000;57429999
57255-000 a 57256-999;57255000;57256999
57980-000 a 57989-999;57980000;57989999
57965-000 a 57967-999;57965000;57967999
57270-000 a 57274-999;57270000;57274999
57330-000 a 57339-999;57330000;57339999
57260-000 a 57264-999;57260000;57264999
57000-001 a 57099-999;57000001;57099999
57000-001 a 57099-999;57000001;57099999
57580-000 a 57599-999;57580000;57599999
57730-000 a 57739-999;57730000;57739999
57955-000 a 57959-999;57955000;57959999
57520-000 a 57524-999;57520000;57524999
57160-000 a 57179-999;57160000;57179999
57670-000 a 57679-999;57670000;57679999
57540-000 a 57544-999;57540000;57544999
57910-000 a 57919-999;57910000;57919999
57990-000 a 57994-999;57990000;57994999
57615-000 a 57619-999;57615000;57619999
57440-000 a 57441-999;57440000;57441999
57820-000 a 57829-999;57820000;57829999
57970-000 a 57974-999;57970000;57974999
57442-000 a 57444-999;57442000;57444999
57470-000 a 57474-999;57470000;57474999
57390-000 a 57399-999;57390000;57399999
57550-000 a 57559-999;57550000;57559999
57525-000 a 57529-999;57525000;57529999
57410-000 a 57419-999;57410000;57419999
57600-001 a 57614-999;57600001;57614999
57600-001 a 57609-999;57600001;57609999
57400-000 a 57409-999;57400000;57409999
57475-000 a 57479-999;57475000;57479999
57935-000 a 57939-999;57935000;57939999
57930-000 a 57934-999;57930000;57934999
57740-000 a 57749-999;57740000;57749999
57200-000 a 57209-999;57200000;57209999
57210-000 a 57219-999;57210000;57219999
57150-000 a 57159-999;57150000;57159999
57720-000 a 57729-999;57720000;57729999
57460-000 a 57469-999;57460000;57469999
57510-000 a 57514-999;57510000;57514999
57900-000 a 57909-999;57900000;57909999
57945-000 a 57949-999;57945000;57949999
57290-000 a 57299-999;57290000;57299999
57750-000 a 57759-999;57750000;57759999
57100-000 a 57119-999;57100000;57119999
57257-000 a 57259-999;57257000;57259999
57130-000 a 57139-999;57130000;57139999
57500-000 a 57509-999;57500000;57509999
57840-000 a 57859-999;57840000;57859999
57380-000 a 57389-999;57380000;57389999
57860-000 a 57889-999;57860000;57889999
57445-000 a 57459-999;57445000;57459999
57920-000 a 57924-999;57920000;57924999
57240-001 a 57249-999;57240001;57249999
57240-001 a 57249-999;57240001;57249999
57940-000 a 57944-999;57940000;57944999
57275-000 a 57279-999;57275000;57279999
